Cycle:   247970, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247971, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247972, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247973, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247974, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247975, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247976, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247977, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247978, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247979, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247980, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247981, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247982, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247983, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247984, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247985, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247986, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247987, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247988, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247989, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247990, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247991, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247992, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247993, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247994, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247995, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247996, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247997, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247998, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
Cycle:   247999, Time:  3.115E-02s, Time Inc.: 1.256E-07s, Progress:   2.00%, Est. Clock Time Remaining:    8.6 hrs
