Cycle:    59970, Time:  7.533E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59971, Time:  7.533E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59972, Time:  7.533E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59973, Time:  7.533E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59974, Time:  7.533E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59975, Time:  7.533E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59976, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59977, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59978, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59979, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59980, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59981, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59982, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59983, Time:  7.534E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59984, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59985, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59986, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59987, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59988, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59989, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59990, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59991, Time:  7.535E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59992, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59993, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59994, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59995, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59996, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59997, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59998, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
Cycle:    59999, Time:  7.536E-03s, Time Inc.: 1.256E-07s, Progress:   0.02%, Est. Clock Time Remaining:   62.8 hrs
